province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,UNDER CONSTRUCTION,9 AND MORE,2734,2.58,4411,4.16,152
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,LESS THAN 5 YEARS,9 AND MORE,13121,12.36,4411,4.16,490
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,5-10 YEARS,9 AND MORE,29182,27.5,4411,4.16,1088
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,11-50 YEARS,9 AND MORE,55256,52.06,4411,4.16,2385
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,OVER 50 YEARS,9 AND MORE,5841,5.5,4411,4.16,296
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,UNDER CONSTRUCTION,1,1988,2.75,8007,11.07,246
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,LESS THAN 5 YEARS,1,6413,8.86,8007,11.07,536
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,5-10 YEARS,1,13992,19.34,8007,11.07,1459
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,11-50 YEARS,1,45939,63.48,8007,11.07,5399
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,OVER 50 YEARS,1,4030,5.57,8007,11.07,367
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,UNDER CONSTRUCTION,2,1988,2.75,14840,20.51,421
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,LESS THAN 5 YEARS,2,6413,8.86,14840,20.51,1269
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,5-10 YEARS,2,13992,19.34,14840,20.51,2893
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,11-50 YEARS,2,45939,63.48,14840,20.51,9528
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,OVER 50 YEARS,2,4030,5.57,14840,20.51,729
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,UNDER CONSTRUCTION,3,1988,2.75,15655,21.63,394
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,LESS THAN 5 YEARS,3,6413,8.86,15655,21.63,1516
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,5-10 YEARS,3,13992,19.34,15655,21.63,3389
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,11-50 YEARS,3,45939,63.48,15655,21.63,9584
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,OVER 50 YEARS,3,4030,5.57,15655,21.63,772
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,UNDER CONSTRUCTION,4,1988,2.75,12139,16.78,357
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,LESS THAN 5 YEARS,4,6413,8.86,12139,16.78,1127
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,5-10 YEARS,4,13992,19.34,12139,16.78,2356
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,11-50 YEARS,4,45939,63.48,12139,16.78,7625
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,OVER 50 YEARS,4,4030,5.57,12139,16.78,674
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,UNDER CONSTRUCTION,5,1988,2.75,7444,10.29,192
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,LESS THAN 5 YEARS,5,6413,8.86,7444,10.29,648
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,5-10 YEARS,5,13992,19.34,7444,10.29,1419
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,11-50 YEARS,5,45939,63.48,7444,10.29,4713
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,OVER 50 YEARS,5,4030,5.57,7444,10.29,472
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,UNDER CONSTRUCTION,6,1988,2.75,5504,7.61,124
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,LESS THAN 5 YEARS,6,6413,8.86,5504,7.61,478
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,5-10 YEARS,6,13992,19.34,5504,7.61,1006
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,11-50 YEARS,6,45939,63.48,5504,7.61,3534
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,OVER 50 YEARS,6,4030,5.57,5504,7.61,362
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,UNDER CONSTRUCTION,7,1988,2.75,2784,3.85,65
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,LESS THAN 5 YEARS,7,6413,8.86,2784,3.85,239
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,5-10 YEARS,7,13992,19.34,2784,3.85,521
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,11-50 YEARS,7,45939,63.48,2784,3.85,1777
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,OVER 50 YEARS,7,4030,5.57,2784,3.85,182
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,UNDER CONSTRUCTION,8,1988,2.75,2270,3.14,65
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,LESS THAN 5 YEARS,8,6413,8.86,2270,3.14,247
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,5-10 YEARS,8,13992,19.34,2270,3.14,371
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,11-50 YEARS,8,45939,63.48,2270,3.14,1424
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,OVER 50 YEARS,8,4030,5.57,2270,3.14,163
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,UNDER CONSTRUCTION,9 AND MORE,1988,2.75,3719,5.14,124
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,LESS THAN 5 YEARS,9 AND MORE,6413,8.86,3719,5.14,353
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,5-10 YEARS,9 AND MORE,13992,19.34,3719,5.14,578
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,11-50 YEARS,9 AND MORE,45939,63.48,3719,5.14,2355
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,URBAN,OVER 50 YEARS,9 AND MORE,4030,5.57,3719,5.14,309
