province_name,district_code,district_name,area_name,area_type,gender,work_activity,age_group,count
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,OTHER,65 - 69,3026
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,OTHER,70 - 74,2900
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,OTHER,75 AND ABOVE,5673
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,10 AND ABOVE,462883
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,10 - 14,66450
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,15 - 19,62788
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,20 - 24,54758
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,25 - 29,45949
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,30 - 34,42136
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,35 - 39,35874
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,40 - 44,29005
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,45 - 49,25762
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,50 - 54,25192
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,55 - 59,20392
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,60 - 64,18889
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,65 - 69,13121
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,70 - 74,9559
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,TOTAL POPULATION,75 AND ABOVE,13008
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,10 AND ABOVE,236232
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,10 - 14,1919
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,15 - 19,10457
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,20 - 24,25999
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,25 - 29,30913
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,30 - 34,31434
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,35 - 39,27485
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,40 - 44,22311
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,45 - 49,19913
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,50 - 54,19199
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,55 - 59,14962
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,60 - 64,12602
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,65 - 69,8002
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,70 - 74,5127
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,WORKING,75 AND ABOVE,5909
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,10 AND ABOVE,23361
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,10 - 14,594
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,15 - 19,5400
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,20 - 24,8704
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,25 - 29,4249
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,30 - 34,1973
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,35 - 39,992
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,40 - 44,493
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,45 - 49,301
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,50 - 54,215
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,55 - 59,170
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,60 - 64,119
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,65 - 69,54
