province_name,district_code,district_name,area_name,area_type,gender,nationality_status,age_group,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,65 - 69,12
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,70 - 74,9071
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,70 - 74,9066
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,70 - 74,5
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,70 - 74,7588
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,70 - 74,7588
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,70 - 74,0
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,70 - 74,1483
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,70 - 74,1478
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,70 - 74,5
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,75 AND ABOVE,10946
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,75 AND ABOVE,10938
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,75 AND ABOVE,8
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,75 AND ABOVE,9229
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,75 AND ABOVE,9227
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,75 AND ABOVE,2
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,75 AND ABOVE,1717
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,75 AND ABOVE,1711
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,75 AND ABOVE,6
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,18 AND ABOVE,505252
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,18 AND ABOVE,504726
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,18 AND ABOVE,526
