province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,11-50 YEARS,6,9974,39.26,161,0.63,59
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,OVER 50 YEARS,6,1256,4.94,161,0.63,13
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,UNDER CONSTRUCTION,7,1168,4.6,190,0.75,35
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,LESS THAN 5 YEARS,7,4668,18.37,190,0.75,40
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,5-10 YEARS,7,8339,32.82,190,0.75,47
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,11-50 YEARS,7,9974,39.26,190,0.75,62
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,OVER 50 YEARS,7,1256,4.94,190,0.75,6
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,UNDER CONSTRUCTION,8,1168,4.6,98,0.39,7
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,LESS THAN 5 YEARS,8,4668,18.37,98,0.39,9
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,5-10 YEARS,8,8339,32.82,98,0.39,56
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,11-50 YEARS,8,9974,39.26,98,0.39,22
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,OVER 50 YEARS,8,1256,4.94,98,0.39,4
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,UNDER CONSTRUCTION,9 AND MORE,1168,4.6,65,0.26,10
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,LESS THAN 5 YEARS,9 AND MORE,4668,18.37,65,0.26,12
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,5-10 YEARS,9 AND MORE,8339,32.82,65,0.26,19
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,11-50 YEARS,9 AND MORE,9974,39.26,65,0.26,21
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,OVER 50 YEARS,9 AND MORE,1256,4.94,65,0.26,3
