province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,200 - 499,12,ALL SEXES,3887
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,200 - 499,12,MALE,2008
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,200 - 499,12,FEMALE,1879
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,200 - 499,12,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,LESS THAN 200,12,ALL SEXES,1561
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,LESS THAN 200,12,MALE,787
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,LESS THAN 200,12,FEMALE,774
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,LESS THAN 200,12,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,UN-INHABITED,1,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,UN-INHABITED,1,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,UN-INHABITED,1,FEMALE,0
BALOCHISTAN,105,KALAT DISTRICT,MANGOCHAR TEHSIL,UN-INHABITED,1,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,TOTAL,197,ALL SEXES,165260
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,TOTAL,197,MALE,84792
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,TOTAL,197,FEMALE,80468
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,TOTAL,197,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"5,000 AND ABOVE",4,ALL SEXES,23132
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"5,000 AND ABOVE",4,MALE,11397
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"5,000 AND ABOVE",4,FEMALE,11735
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"5,000 AND ABOVE",4,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"2,000 - 4,999",12,ALL SEXES,34511
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"2,000 - 4,999",12,MALE,17591
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"2,000 - 4,999",12,FEMALE,16920
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"2,000 - 4,999",12,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"1,000 - 1,999",34,ALL SEXES,46016
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"1,000 - 1,999",34,MALE,23935
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"1,000 - 1,999",34,FEMALE,22081
