province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,OTHER RELATIVE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,NON-RELATIVE,ALL SEXES,145
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,NON-RELATIVE,MALE,22
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,NON-RELATIVE,FEMALE,123
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,WIDOWED,NON-RELATIVE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,HEAD,ALL SEXES,159
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,HEAD,MALE,101
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,HEAD,FEMALE,58
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,HEAD,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,SPOUSE,ALL SEXES,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,SPOUSE,MALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,SPOUSE,FEMALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,SPOUSE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,SON/DAUGHTER,ALL SEXES,324
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,SON/DAUGHTER,MALE,62
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,SON/DAUGHTER,FEMALE,262
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,SON/DAUGHTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,DAUGHTER/SON IN LAW,ALL SEXES,6
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,DAUGHTER/SON IN LAW,MALE,1
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,DAUGHTER/SON IN LAW,FEMALE,5
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,DAUGHTER/SON IN LAW,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,GRAND SON/GRAND DAUGHTER,ALL SEXES,4
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,GRAND SON/GRAND DAUGHTER,MALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,GRAND SON/GRAND DAUGHTER,FEMALE,4
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,GRAND SON/GRAND DAUGHTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,FATHER/MOTHER,ALL SEXES,41
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,FATHER/MOTHER,MALE,3
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,FATHER/MOTHER,FEMALE,38
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,FATHER/MOTHER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,BROTHER/SISTER,ALL SEXES,221
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,BROTHER/SISTER,MALE,40
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,BROTHER/SISTER,FEMALE,181
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,BROTHER/SISTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,OTHER RELATIVE,ALL SEXES,66
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,OTHER RELATIVE,MALE,17
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,OTHER RELATIVE,FEMALE,49
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,OTHER RELATIVE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,NON-RELATIVE,ALL SEXES,12
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,NON-RELATIVE,MALE,3
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,NON-RELATIVE,FEMALE,9
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,DIVORCED,NON-RELATIVE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,HEAD,ALL SEXES,53436
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,HEAD,MALE,49750
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,HEAD,FEMALE,3686
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,HEAD,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,SPOUSE,ALL SEXES,47725
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,SPOUSE,MALE,871
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,SPOUSE,FEMALE,46854
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,SPOUSE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,SON/DAUGHTER,ALL SEXES,41770
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,SON/DAUGHTER,MALE,25972
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,SON/DAUGHTER,FEMALE,15798
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,SON/DAUGHTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,DAUGHTER/SON IN LAW,ALL SEXES,4210
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TOTAL,DAUGHTER/SON IN LAW,MALE,328
