adm_lvl_1,adm_lvl_2,adm_lvl_3,adm_lvl_4,prelim_total,final_total,difference
PUNJAB,BAHAWALPUR,RAHIM YAR KHAN DISTRICT,SADIQABAD TEHSIL,1264752,1261588,-3164
PUNJAB,D.G.KHAN,DERA GHAZI KHAN DISTRICT,DE-EXCLUDED AREA D.G KHAN TEHSIL,212430,212652,222
PUNJAB,D.G.KHAN,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,1226612,1224964,-1648
PUNJAB,D.G.KHAN,DERA GHAZI KHAN DISTRICT,KOT CHHUTTA TEHSIL,757403,757230,-173
PUNJAB,D.G.KHAN,DERA GHAZI KHAN DISTRICT,TAUNSA TEHSIL,675756,677785,2029
PUNJAB,D.G.KHAN,LAYYAH DISTRICT,CHOUBARA TEHSIL,252200,252540,340
PUNJAB,D.G.KHAN,LAYYAH DISTRICT,KAROR LAL ESAN TEHSIL,594639,594367,-272
PUNJAB,D.G.KHAN,LAYYAH DISTRICT,LAYYAH TEHSIL,977391,977088,-303
PUNJAB,D.G.KHAN,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,639748,640384,636
PUNJAB,D.G.KHAN,MUZAFFARGARH DISTRICT,JATOI TEHSIL,714576,715177,601
PUNJAB,D.G.KHAN,MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,1346687,1347501,814
PUNJAB,D.G.KHAN,MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,1624472,1625487,1015
PUNJAB,D.G.KHAN,RAJANPUR DISTRICT,DE-EXCLUDED AREA RAJANPUR,34230,34191,-39
PUNJAB,D.G.KHAN,RAJANPUR DISTRICT,JAMPUR TEHSIL,849086,849389,303
PUNJAB,D.G.KHAN,RAJANPUR DISTRICT,RAJANPUR TEHSIL,706868,706770,-98
PUNJAB,D.G.KHAN,RAJANPUR DISTRICT,ROJHAN TEHSIL,405774,405689,-85
PUNJAB,FAISALABAD,CHINIOT DISTRICT,BHAWANA TEHSIL,374270,373841,-429
PUNJAB,FAISALABAD,CHINIOT DISTRICT,CHINIOT TEHSIL,556147,555796,-351
PUNJAB,FAISALABAD,CHINIOT DISTRICT,LALIAN TEHSIL,439323,439022,-301
PUNJAB,FAISALABAD,FAISALABAD DISTRICT,CHAK JHUMRA TEHSIL,332461,332966,505
PUNJAB,FAISALABAD,FAISALABAD DISTRICT,FAISALABAD CITY TEHSIL,3238841,3244259,5418
PUNJAB,FAISALABAD,FAISALABAD DISTRICT,FAISALABAD SADAR TEHSIL,1465411,1465027,-384
PUNJAB,FAISALABAD,FAISALABAD DISTRICT,JARANWALA TEHSIL,1492276,1493923,1647
PUNJAB,FAISALABAD,FAISALABAD DISTRICT,SAMMUNDRI TEHSIL,643068,643114,46
PUNJAB,FAISALABAD,FAISALABAD DISTRICT,TANDLIAN WALA TEHSIL,702733,703155,422
PUNJAB,FAISALABAD,JHANG DISTRICT,18-HAZARI TEHSIL,295801,295714,-87
PUNJAB,FAISALABAD,JHANG DISTRICT,AHMADPUR SIAL TEHSIL,433517,433534,17
PUNJAB,FAISALABAD,JHANG DISTRICT,JHANG TEHSIL,1466141,1464818,-1323
PUNJAB,FAISALABAD,JHANG DISTRICT,SHORKOT TEHSIL,548626,548567,-59
PUNJAB,FAISALABAD,TOBA TEK SINGH DISTRICT,GOJRA TEHSIL,656007,657222,1215
PUNJAB,FAISALABAD,TOBA TEK SINGH DISTRICT,KAMALIA TEHSIL,371851,372010,159
PUNJAB,FAISALABAD,TOBA TEK SINGH DISTRICT,PIRMAHAL TEHSIL,422331,422246,-85
PUNJAB,FAISALABAD,TOBA TEK SINGH DISTRICT,TOBA TEK SINGH TEHSIL,739826,740017,191
PUNJAB,GUJRANWALA,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,259556,259764,208
PUNJAB,GUJRANWALA,GUJRANWALA DISTRICT,GUJRANWALA SADDAR TEHSIL,2807054,2806529,-525
PUNJAB,GUJRANWALA,GUJRANWALA DISTRICT,KAMOKE TEHSIL,581444,579690,-1754
PUNJAB,GUJRANWALA,GUJRANWALA DISTRICT,NOWSHERA VIRKAN TEHSIL,535746,534811,-935
PUNJAB,GUJRANWALA,GUJRANWALA DISTRICT,WAZIRABAD TEHSIL,830396,830272,-124
PUNJAB,GUJRANWALA,GUJRAT DISTRICT,GUJRAT TEHSIL,1497865,1497706,-159
PUNJAB,GUJRANWALA,GUJRAT DISTRICT,KHARIAN TEHSIL,1010912,1011262,350
PUNJAB,GUJRANWALA,GUJRAT DISTRICT,SARAI ALAMGIR TEHSIL,247333,247321,-12
PUNJAB,GUJRANWALA,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,663735,663916,181
PUNJAB,GUJRANWALA,HAFIZABAD DISTRICT,PINDI BHATTIAN TEHSIL,493222,493038,-184
PUNJAB,GUJRANWALA,MANDI BAHAUDDIN DISTRICT,MALAKWAL TEHSIL,371869,372171,302
PUNJAB,GUJRANWALA,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN TEHSIL,668007,668538,531
PUNJAB,GUJRANWALA,MANDI BAHAUDDIN DISTRICT,PHALIA TEHSIL,553416,553330,-86
PUNJAB,GUJRANWALA,NAROWAL DISTRICT,NAROWAL TEHSIL,596565,596539,-26
PUNJAB,GUJRANWALA,NAROWAL DISTRICT,SHAKARGARH TEHSIL,674223,672030,-2193
PUNJAB,GUJRANWALA,NAROWAL DISTRICT,ZAFARWAL TEHSIL,438969,439006,37
PUNJAB,GUJRANWALA,SIALKOT DISTRICT,DASKA TEHSIL,846933,847117,184
PUNJAB,GUJRANWALA,SIALKOT DISTRICT,PASRUR TEHSIL,840881,840847,-34
PUNJAB,GUJRANWALA,SIALKOT DISTRICT,SAMBRIAL TEHSIL,411200,410823,-377
PUNJAB,GUJRANWALA,SIALKOT DISTRICT,SIALKOT TEHSIL,1794658,1796151,1493
PUNJAB,LAHORE,KASUR DISTRICT,CHUNIAN TEHSIL,825684,826323,639
PUNJAB,LAHORE,KASUR DISTRICT,KASUR TEHSIL,1334653,1333583,-1070
PUNJAB,LAHORE,KASUR DISTRICT,KOT RADHA KISHAN TEHSIL,360330,360523,193
PUNJAB,LAHORE,KASUR DISTRICT,PATTOKI TEHSIL,934329,934452,123
PUNJAB,LAHORE,LAHORE DISTRICT,LAHORE CANTT TEHSIL,1636342,1632702,-3640
PUNJAB,LAHORE,LAHORE DISTRICT,LAHORE CITY TEHSIL,3655774,3653616,-2158
PUNJAB,LAHORE,LAHORE DISTRICT,MODEL TOWN TEHSIL,2698235,2703569,5334
PUNJAB,LAHORE,LAHORE DISTRICT,RAIWIND TEHSIL,855626,848541,-7085
PUNJAB,LAHORE,LAHORE DISTRICT,SHALIMAR TEHSIL,2280308,2281557,1249
PUNJAB,LAHORE,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,883876,884006,130
PUNJAB,LAHORE,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,227630,227604,-26
PUNJAB,LAHORE,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,244868,243376,-1492
PUNJAB,LAHORE,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,795498,794489,-1009
PUNJAB,LAHORE,SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,639784,639589,-195
PUNJAB,LAHORE,SHEIKHUPURA DISTRICT,SAFDARABAD TEHSIL,272500,272807,307
PUNJAB,LAHORE,SHEIKHUPURA DISTRICT,SHARAK PUR TEHSIL,197220,197459,239
PUNJAB,LAHORE,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,1555424,1555660,236
PUNJAB,MULTAN,KHANEWAL DISTRICT,JAHANIAN TEHSIL,343361,343425,64
PUNJAB,MULTAN,KHANEWAL DISTRICT,KABIRWALA TEHSIL,959861,958596,-1265
PUNJAB,MULTAN,KHANEWAL DISTRICT,KHANEWAL TEHSIL,856793,856257,-536
PUNJAB,MULTAN,KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,761971,761955,-16
PUNJAB,MULTAN,LODHRAN DISTRICT,DUNYAPUR TEHSIL,495013,495217,204
PUNJAB,MULTAN,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,500939,500963,24
PUNJAB,MULTAN,LODHRAN DISTRICT,LODHRAN TEHSIL,704668,703513,-1155
PUNJAB,MULTAN,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,554152,554971,819
PUNJAB,MULTAN,MULTAN DISTRICT,MULTAN CITY TEHSIL,2258570,2259115,545
PUNJAB,MULTAN,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,1322756,1323076,320
PUNJAB,MULTAN,MULTAN DISTRICT,SHUJABAD TEHSIL,609631,609004,-627
PUNJAB,MULTAN,VEHARI DISTRICT,BUREWALA TEHSIL,1015385,1019659,4274
PUNJAB,MULTAN,VEHARI DISTRICT,MAILSI TEHSIL,953895,953610,-285
PUNJAB,MULTAN,VEHARI DISTRICT,VEHARI TEHSIL,928166,928812,646
PUNJAB,RAWALPINDI,ATTOCK DISTRICT,ATTOCK TEHSIL,434705,435203,498
PUNJAB,RAWALPINDI,ATTOCK DISTRICT,FATEH JANG TEHSIL,325970,326433,463
PUNJAB,RAWALPINDI,ATTOCK DISTRICT,HASAN ABDAL TEHSIL,216566,217109,543
PUNJAB,RAWALPINDI,ATTOCK DISTRICT,HAZRO TEHSIL,339238,340189,951
PUNJAB,RAWALPINDI,ATTOCK DISTRICT,JAND TEHSIL,295483,295513,30
PUNJAB,RAWALPINDI,ATTOCK DISTRICT,PINDI GHEB TEHSIL,271594,271931,337
PUNJAB,RAWALPINDI,CHAKWAL DISTRICT,CHAKWAL TEHSIL,656978,656527,-451
PUNJAB,RAWALPINDI,CHAKWAL DISTRICT,CHOA SAIDAN SHAH TEHSIL,141844,141942,98
PUNJAB,RAWALPINDI,CHAKWAL DISTRICT,KALLAR KAHAR TEHSIL,169660,169238,-422
PUNJAB,RAWALPINDI,CHAKWAL DISTRICT,LAWA TEHSIL,125893,125770,-123
PUNJAB,RAWALPINDI,CHAKWAL DISTRICT,TALA GANG TEHSIL,401607,401986,379
PUNJAB,RAWALPINDI,JHELUM DISTRICT,DINA TEHSIL,238660,238465,-195
PUNJAB,RAWALPINDI,JHELUM DISTRICT,JHELUM TEHSIL,445190,445232,42
PUNJAB,RAWALPINDI,JHELUM DISTRICT,PIND DADAN KHAN TEHSIL,336852,336841,-11
PUNJAB,RAWALPINDI,JHELUM DISTRICT,SOHAWA TEHSIL,201948,201865,-83
PUNJAB,RAWALPINDI,RAWALPINDI DISTRICT,GUJAR KHAN TEHSIL,678503,678062,-441
PUNJAB,RAWALPINDI,RAWALPINDI DISTRICT,KAHUTA TEHSIL,220576,220746,170
PUNJAB,RAWALPINDI,RAWALPINDI DISTRICT,KALLAR SAYADDAN TEHSIL,217273,217061,-212
PUNJAB,RAWALPINDI,RAWALPINDI DISTRICT,KOTLI SATTIAN TEHSIL,119312,119295,-17
PUNJAB,RAWALPINDI,RAWALPINDI DISTRICT,MURREE TEHSIL,233471,233017,-454
PUNJAB,RAWALPINDI,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,3258547,3256641,-1906
PUNJAB,RAWALPINDI,RAWALPINDI DISTRICT,TAXILA TEHSIL,677951,677558,-393
PUNJAB,SAHIWAL,OKARA DISTRICT,DEPALPUR TEHSIL,1374912,1375785,873
PUNJAB,SAHIWAL,OKARA DISTRICT,OKARA TEHSIL,1205655,1206319,664
PUNJAB,SAHIWAL,OKARA DISTRICT,RENALA KHURD TEHSIL,458572,458722,150
PUNJAB,SAHIWAL,PAKPATTAN DISTRICT,ARIF WALA TEHSIL,854462,855029,567
PUNJAB,SAHIWAL,PAKPATTAN DISTRICT,PAKPATTAN TEHSIL,969225,969199,-26
PUNJAB,SAHIWAL,SAHIWAL,CHICHAWATNI TEHSIL,1026007,1024180,-1827
PUNJAB,SARGODHA,BHAKKAR DISTRICT,BHAKKAR TEHSIL,685059,683939,-1120
PUNJAB,SARGODHA,BHAKKAR DISTRICT,DARYA KHAN TEHSIL,360807,360427,-380
PUNJAB,SARGODHA,BHAKKAR DISTRICT,KALUR KOT TEHSIL,347552,346591,-961
PUNJAB,SARGODHA,BHAKKAR DISTRICT,MANKERA TEHSIL,257100,256895,-205
PUNJAB,SARGODHA,KHUSHAB,KHUSHAB TEHSIL,689742,690157,415
PUNJAB,SARGODHA,KHUSHAB,NOORPUR TEHSIL,243295,242831,-464
PUNJAB,SARGODHA,KHUSHAB,NOWSHERA TEHSIL,117942,117356,-586
PUNJAB,SARGODHA,KHUSHAB,QUAIDABAD TEHSIL,230320,230028,-292
PUNJAB,SARGODHA,MIANWALI DISTRICT,ISAKHEL TEHSIL,375026,374194,-832
PUNJAB,SARGODHA,MIANWALI DISTRICT,MIANWALI TEHSIL,767130,766357,-773
PUNJAB,SARGODHA,MIANWALI DISTRICT,PIPLAN TEHSIL,403938,402050,-1888
PUNJAB,SARGODHA,SARGODHA,BHALWAL TEHSIL,357331,356206,-1125
PUNJAB,SARGODHA,SARGODHA,BHERA TEHSIL,315148,314369,-779
PUNJAB,SARGODHA,SARGODHA,KOT MOMIN TEHSIL,453562,451978,-1584
PUNJAB,SARGODHA,SARGODHA,SARGODHA TEHSIL,1537866,1535152,-2714
PUNJAB,SARGODHA,SARGODHA,SHAHPUR TEHSIL,353969,353325,-644
PUNJAB,SARGODHA,SARGODHA,SILLANWALI TEHSIL,344465,344487,22
PUNJAB,NA,SAHIWAL,SAHIWAL TEHSIL,1491553,1488831,-2722
PUNJAB,NA,SARGODHA,SAHIWAL TEHSIL,341247,340695,-552
SINDH,NA,BADIN DISTRICT,BADIN TALUKA,455295,454576,-719
SINDH,NA,BADIN DISTRICT,GOLARCHI (S.F.RAHU) TALUKA,334697,334440,-257
SINDH,NA,BADIN DISTRICT,MATLI TALUKA,443412,444700,1288
SINDH,NA,BADIN DISTRICT,TALHAR TALUKA,172254,172014,-240
SINDH,NA,BADIN DISTRICT,TANDO BAGO TALUKA,398858,399228,370
SINDH,NA,DADU DISTRICT,DADU TALUKA,460481,461665,1184
SINDH,NA,DADU DISTRICT,JOHI TALUKA,294848,294389,-459
SINDH,NA,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,334258,334477,219
SINDH,NA,DADU DISTRICT,MEHAR TALUKA,460679,459859,-820
SINDH,NA,GHOTKI DISTRICT,DAHARKI TALUKA,310079,310709,630
SINDH,NA,GHOTKI DISTRICT,GHOTKI TALUKA,506919,507087,168
SINDH,NA,GHOTKI DISTRICT,KHANGARH TALUKA,149008,149667,659
SINDH,NA,GHOTKI DISTRICT,MIRPUR MATHELO TALUKA,327944,327821,-123
SINDH,NA,GHOTKI DISTRICT,UBAURO TALUKA,353289,353424,135
SINDH,NA,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,756906,725153,-31753
SINDH,NA,HYDERABAD DISTRICT,HYDERABAD TALUKA,466770,466306,-464
SINDH,NA,HYDERABAD DISTRICT,LATIFABAD TALUKA,672504,703690,31186
SINDH,NA,HYDERABAD DISTRICT,QASIMABAD TALUKA,304899,304779,-120
SINDH,NA,JACOBABAD DISTRICT,GARHI KHAIRO TALUKA,158360,159019,659
SINDH,NA,JACOBABAD DISTRICT,JACOBABAD TALUKA,382513,382578,65
SINDH,NA,JACOBABAD DISTRICT,THUL TALUKA,465424,465412,-12
SINDH,NA,JAMSHORO DISTRICT,KOTRI TALUKA,437561,438063,502
SINDH,NA,JAMSHORO DISTRICT,MANJHAND TALUKA,140840,140766,-74
SINDH,NA,JAMSHORO DISTRICT,SEHWAN TALUKA,269291,269817,526
SINDH,NA,JAMSHORO DISTRICT,THANO BULA KHAN TALUKA,145450,145262,-188
SINDH,NA,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,395206,393374,-1832
SINDH,NA,KAMBAR SHAHDAD KOT DISTRICT,MIRO KHAN TALUKA,158191,157934,-257
SINDH,NA,KAMBAR SHAHDAD KOT DISTRICT,NASIRABAD TALUKA,151500,151410,-90
SINDH,NA,KAMBAR SHAHDAD KOT DISTRICT,QUBO SAEED KHAN TALUKA,85970,85767,-203
SINDH,NA,KAMBAR SHAHDAD KOT DISTRICT,SHAHDAD KOT TALUKA,202745,202564,-181
SINDH,NA,KAMBAR SHAHDAD KOT DISTRICT,SUJAWAL JUNEJO TALUKA,117459,117467,8
SINDH,NA,KAMBAR SHAHDAD KOT DISTRICT,WARAH TALUKA,229971,229519,-452
SINDH,NA,KARACHI CENTRAL DISTRICT,GULBERG,495892,496094,202
SINDH,NA,KARACHI CENTRAL DISTRICT,LIAQUATABAD,449497,449098,-399
SINDH,NA,KARACHI CENTRAL DISTRICT,NAZIMABAD,447435,446347,-1088
SINDH,NA,KARACHI CENTRAL DISTRICT,NEW KARACHI,871232,871245,13
SINDH,NA,KARACHI CENTRAL DISTRICT,NORTH NAZIMABAD,708583,708598,15
SINDH,NA,KARACHI EAST DISTRICT,FAISAL CANTONMENT,296469,NA,NA
SINDH,NA,KARACHI EAST DISTRICT,FEROZABAD,762850,761631,-1219
SINDH,NA,KARACHI EAST DISTRICT,GULSHAN-E-IQBAL,644362,841800,197438
SINDH,NA,KARACHI EAST DISTRICT,GULZAR-E-HIJRI,734410,792451,58041
SINDH,NA,KARACHI EAST DISTRICT,JAMSHED QUARTERS,471830,479433,7603
SINDH,NA,KARACHI SOUTH DISTRICT,ARAM BAGH,128374,128313,-61
SINDH,NA,KARACHI SOUTH DISTRICT,CIVIL LINES,224057,473119,249062
SINDH,NA,KARACHI SOUTH DISTRICT,CLIFTON CANTONMENT,305938,NA,NA
SINDH,NA,KARACHI SOUTH DISTRICT,GARDEN,365323,363967,-1356
SINDH,NA,KARACHI SOUTH DISTRICT,KARACHI CANTONMENT,68877,NA,NA
SINDH,NA,KARACHI SOUTH DISTRICT,LYARI,662816,661926,-890
SINDH,NA,KARACHI SOUTH DISTRICT,SADDAR,36366,141905,105539
SINDH,NA,KARACHI WEST DISTRICT,BALDIA,832768,832583,-185
SINDH,NA,KARACHI WEST DISTRICT,HARBOUR,397671,401115,3444
SINDH,NA,KARACHI WEST DISTRICT,MANGHOPIR,713753,711236,-2517
SINDH,NA,KARACHI WEST DISTRICT,MANORA CANTONMENT,5874,NA,NA
SINDH,NA,KARACHI WEST DISTRICT,MAURIPUR,192794,192565,-229
SINDH,NA,KARACHI WEST DISTRICT,MOMINABAD,846531,845797,-734
SINDH,NA,KARACHI WEST DISTRICT,ORANGI,520609,520195,-414
SINDH,NA,KARACHI WEST DISTRICT,SITE,404757,403574,-1183
SINDH,NA,KASHMOR DISTRICT,KANDHKOT TALUKA,366484,366111,-373
SINDH,NA,KASHMOR DISTRICT,KASHMOR TALUKA,434975,434966,-9
SINDH,NA,KASHMOR DISTRICT,TANGWANI TALUKA,287710,289259,1549
SINDH,NA,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,224004,224088,84
SINDH,NA,KHAIRPUR DISTRICT,GAMBAT TALUKA,263746,263218,-528
SINDH,NA,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,440752,440412,-340
SINDH,NA,KHAIRPUR DISTRICT,KINGRI TALUKA,340218,340297,79
SINDH,NA,KHAIRPUR DISTRICT,KOT DIJI TALUKA,348899,348582,-317
SINDH,NA,KHAIRPUR DISTRICT,MIRWAH TALUKA,352491,352764,273
SINDH,NA,KHAIRPUR DISTRICT,NARA TALUKA,160985,160643,-342
SINDH,NA,KHAIRPUR DISTRICT,SOBHO DERO TALUKA,274428,275186,758
SINDH,NA,KORANGI DISTRICT,KORANGI,1071560,1126141,54581
SINDH,NA,KORANGI DISTRICT,LANDHI,553665,546196,-7469
SINDH,NA,KORANGI DISTRICT,MODEL COLONY,383801,384389,588
SINDH,NA,KORANGI DISTRICT,SHAH FAISAL,447993,520830,72837
SINDH,NA,LARKANA DISTRICT,BAKRANI TALUKA,229444,229200,-244
SINDH,NA,LARKANA DISTRICT,DOKRI TALUKA,225294,224959,-335
SINDH,NA,LARKANA DISTRICT,LARKANA TALUKA,738069,735210,-2859
SINDH,NA,LARKANA DISTRICT,RATODERO TALUKA,331584,332417,833
SINDH,NA,MALIR DISTRICT,AIRPORT,100743,195143,94400
SINDH,NA,MALIR DISTRICT,BIN QASIM SUB-DIVISION,247141,248098,957
SINDH,NA,MALIR DISTRICT,GADAP SUB-DIVISION,64192,64153,-39
SINDH,NA,MALIR DISTRICT,IBRAHIM HYDRI,1045815,1055780,9965
SINDH,NA,MALIR DISTRICT,KORANGI CREEK CANTONMENT,57745,NA,NA
SINDH,NA,MALIR DISTRICT,MALIR CANTONMENT,139052,NA,NA
SINDH,NA,MALIR DISTRICT,MURAD MEMON,324275,331326,7051
SINDH,NA,MALIR DISTRICT,SHAH MUREED,29938,29846,-92
SINDH,NA,MATIARI DISTRICT,HALA TALUKA,262423,262639,216
SINDH,NA,MATIARI DISTRICT,MATIARI TALUKA,340677,341110,433
SINDH,NA,MATIARI DISTRICT,SAEEDABAD TALUKA,166249,166291,42
SINDH,NA,MIRPUR KHAS DISTRICT,DIGRI TALUKA,214499,214017,-482
SINDH,NA,MIRPUR KHAS DISTRICT,HUSSAIN BUX MARI TALUKA,150285,150226,-59
SINDH,NA,MIRPUR KHAS DISTRICT,JHUDO TALUKA,202228,201850,-378
SINDH,NA,MIRPUR KHAS DISTRICT,KOT GHULAM MUHAMMAD TALUKA,273193,273132,-61
SINDH,NA,MIRPUR KHAS DISTRICT,MIRPUR KHAS TALUKA,260182,260288,106
SINDH,NA,MIRPUR KHAS DISTRICT,SHUJAABAD TALUKA,169231,168733,-498
SINDH,NA,MIRPUR KHAS DISTRICT,SINDHRI TALUKA,236258,236194,-64
SINDH,NA,NAUSHAHRO FEROZE DISTRICT,BHIRIA TALUKA,301044,301544,500
SINDH,NA,NAUSHAHRO FEROZE DISTRICT,KANDIARO TALUKA,322439,322376,-63
SINDH,NA,NAUSHAHRO FEROZE DISTRICT,MEHRABPUR TALUKA,247280,246649,-631
SINDH,NA,NAUSHAHRO FEROZE DISTRICT,MORO TALUKA,368789,368579,-210
SINDH,NA,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE TALUKA,372821,372899,78
SINDH,NA,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,153342,153193,-149
SINDH,NA,SANGHAR DISTRICT,KHIPRO TALUKA,333284,332833,-451
SINDH,NA,SANGHAR DISTRICT,SANGHAR TALUKA,434087,432792,-1295
SINDH,NA,SANGHAR DISTRICT,SHAHDADPUR TALUKA,457551,457028,-523
SINDH,NA,SANGHAR DISTRICT,SINJHORO TALUKA,320874,317004,-3870
SINDH,NA,SANGHAR DISTRICT,TANDO ADAM TALUKA,357919,357023,-896
SINDH,NA,SHAHEED BENAZIRABAD DISTRICT,DAUR TALUKA,477357,477993,636
SINDH,NA,SHAHEED BENAZIRABAD DISTRICT,KAZI AHMED TALUKA,348702,348944,242
SINDH,NA,SHAHEED BENAZIRABAD DISTRICT,NAWABSHAH TALUKA,413913,413402,-511
SINDH,NA,SHAHEED BENAZIRABAD DISTRICT,SAKRAND TALUKA,372875,373167,292
SINDH,NA,SHIKARPUR DISTRICT,GARHI YASIN TALUKA,315883,316573,690
SINDH,NA,SHIKARPUR DISTRICT,KHANPUR TALUKA,276283,276140,-143
SINDH,NA,SHIKARPUR DISTRICT,LAKHI TALUKA,248143,248756,613
SINDH,NA,SHIKARPUR DISTRICT,SHIKARPUR TALUKA,391172,392291,1119
SINDH,NA,SUJAWAL DISTRICT,JATI TALUKA,202299,201868,-431
SINDH,NA,SUJAWAL DISTRICT,KHARO CHAN TALUKA,10235,10235,0
SINDH,NA,SUJAWAL DISTRICT,MIRPUR BATHORO TALUKA,210959,210820,-139
SINDH,NA,SUJAWAL DISTRICT,SHAH BUNDER TALUKA,159887,159748,-139
SINDH,NA,SUJAWAL DISTRICT,SUJAWAL TALUKA,198587,196391,-2196
SINDH,NA,SUKKUR DISTRICT,NEW SUKKUR TALUKA,319768,320223,455
SINDH,NA,SUKKUR DISTRICT,PANO AQIL TALUKA,435823,436372,549
SINDH,NA,SUKKUR DISTRICT,ROHRI TALUKA,371104,370582,-522
SINDH,NA,SUKKUR DISTRICT,SALEHPAT TALUKA,129619,129736,117
SINDH,NA,SUKKUR DISTRICT,SUKKUR CITY TALUKA,231589,231459,-130
SINDH,NA,TANDO ALLAHYAR DISTRICT,CHAMBER TALUKA,209208,210202,994
SINDH,NA,TANDO ALLAHYAR DISTRICT,JHANDO MARI TALUKA,231683,241170,9487
SINDH,NA,TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR TALUKA,395996,387155,-8841
SINDH,NA,TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,236913,237011,98
SINDH,NA,TANDO MUHAMMAD KHAN DISTRICT,TANDO GHULAM HYDER TALUKA,184653,184683,30
SINDH,NA,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN TALUKA,255662,255404,-258
SINDH,NA,THARPARKAR DISTRICT,CHACHRO TALUKA,351263,350807,-456
SINDH,NA,THARPARKAR DISTRICT,DAHLI TALUKA,308487,305529,-2958
SINDH,NA,THARPARKAR DISTRICT,DIPLO TALUKA,147978,148871,893
SINDH,NA,THARPARKAR DISTRICT,ISLAMKOT TALUKA,244662,244439,-223
SINDH,NA,THARPARKAR DISTRICT,KALOI TALUKA,118030,117609,-421
SINDH,NA,THARPARKAR DISTRICT,MITHI TALUKA,219071,219901,830
SINDH,NA,THARPARKAR DISTRICT,NAGAR PARKAR TALUKA,260170,259880,-290
SINDH,NA,THATTA DISTRICT,GHORABARI TALUKA,174088,174046,-42
SINDH,NA,THATTA DISTRICT,KETI BUNDER TALUKA,58832,59699,867
SINDH,NA,THATTA DISTRICT,MIRPUR SAKRO TALUKA,340834,341689,855
SINDH,NA,THATTA DISTRICT,THATTA TALUKA,406063,406704,641
SINDH,NA,UMER KOT DISTRICT,KUNRI TALUKA,218493,218460,-33
SINDH,NA,UMER KOT DISTRICT,PITHORO TALUKA,119971,120005,34
SINDH,NA,UMER KOT DISTRICT,SAMARO TALUKA,170288,170216,-72
SINDH,NA,UMER KOT DISTRICT,UMER KOT TALUKA,564394,564788,394
