province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,1 PERSON,6,7710,2.53,2.86,13874,4.55,7.7,347
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,2 PERSONS,6,17303,5.67,2.79,13874,4.55,7.7,533
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,3 PERSONS,6,26013,8.52,2.83,13874,4.55,7.7,763
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,4 PERSONS,6,38617,12.65,2.91,13874,4.55,7.7,1186
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5 PERSONS,6,48484,15.89,2.98,13874,4.55,7.7,1641
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,6 PERSONS,6,48204,15.79,3.07,13874,4.55,7.7,1827
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,7 PERSONS,6,37424,12.26,3.19,13874,4.55,7.7,1523
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,8 PERSONS,6,26002,8.52,3.37,13874,4.55,7.7,1228
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,9 PERSONS,6,16971,5.56,3.57,13874,4.55,7.7,1071
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,10 PERSONS AND ABOVE,6,38459,12.6,4.29,13874,4.55,7.7,3755
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,1 PERSON,7,7710,2.53,2.86,5978,1.96,7.88,155
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,2 PERSONS,7,17303,5.67,2.79,5978,1.96,7.88,246
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,3 PERSONS,7,26013,8.52,2.83,5978,1.96,7.88,284
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,4 PERSONS,7,38617,12.65,2.91,5978,1.96,7.88,526
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5 PERSONS,7,48484,15.89,2.98,5978,1.96,7.88,693
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,6 PERSONS,7,48204,15.79,3.07,5978,1.96,7.88,730
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,7 PERSONS,7,37424,12.26,3.19,5978,1.96,7.88,674
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,8 PERSONS,7,26002,8.52,3.37,5978,1.96,7.88,551
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,9 PERSONS,7,16971,5.56,3.57,5978,1.96,7.88,425
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,10 PERSONS AND ABOVE,7,38459,12.6,4.29,5978,1.96,7.88,1694
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,1 PERSON,8,7710,2.53,2.86,4544,1.49,8.36,98
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,2 PERSONS,8,17303,5.67,2.79,4544,1.49,8.36,176
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,3 PERSONS,8,26013,8.52,2.83,4544,1.49,8.36,254
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,4 PERSONS,8,38617,12.65,2.91,4544,1.49,8.36,358
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5 PERSONS,8,48484,15.89,2.98,4544,1.49,8.36,443
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,6 PERSONS,8,48204,15.79,3.07,4544,1.49,8.36,464
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,7 PERSONS,8,37424,12.26,3.19,4544,1.49,8.36,465
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,8 PERSONS,8,26002,8.52,3.37,4544,1.49,8.36,444
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,9 PERSONS,8,16971,5.56,3.57,4544,1.49,8.36,331
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,10 PERSONS AND ABOVE,8,38459,12.6,4.29,4544,1.49,8.36,1511
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,1 PERSON,9 AND MORE,7710,2.53,2.86,6312,2.07,8.7,206
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,2 PERSONS,9 AND MORE,17303,5.67,2.79,6312,2.07,8.7,303
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,3 PERSONS,9 AND MORE,26013,8.52,2.83,6312,2.07,8.7,331
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,4 PERSONS,9 AND MORE,38617,12.65,2.91,6312,2.07,8.7,457
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5 PERSONS,9 AND MORE,48484,15.89,2.98,6312,2.07,8.7,586
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,6 PERSONS,9 AND MORE,48204,15.79,3.07,6312,2.07,8.7,646
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,7 PERSONS,9 AND MORE,37424,12.26,3.19,6312,2.07,8.7,556
