province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,8,20953,8.81,3.08,2101,0.88,10.7,175
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,8,14581,6.13,3.3,2101,0.88,10.7,190
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,8,33886,14.24,4.15,2101,0.88,10.7,1070
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,9 AND MORE,4628,1.94,1.97,2965,1.25,12.1,23
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,9 AND MORE,16130,6.78,2,2965,1.25,12.1,60
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,3 PERSONS,9 AND MORE,20622,8.67,2.14,2965,1.25,12.1,61
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,4 PERSONS,9 AND MORE,28959,12.17,2.32,2965,1.25,12.1,104
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5 PERSONS,9 AND MORE,35204,14.79,2.52,2965,1.25,12.1,171
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,6 PERSONS,9 AND MORE,34691,14.58,2.69,2965,1.25,12.1,187
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,7 PERSONS,9 AND MORE,28298,11.89,2.88,2965,1.25,12.1,212
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,9 AND MORE,20953,8.81,3.08,2965,1.25,12.1,234
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,9 AND MORE,14581,6.13,3.3,2965,1.25,12.1,199
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,9 AND MORE,33886,14.24,4.15,2965,1.25,12.1,1714
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,1 PERSON,1,3581,1.92,1.96,35479,18.99,4.66,1737
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,2 PERSONS,1,12696,6.79,1.99,35479,18.99,4.66,5151
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,3 PERSONS,1,16148,8.64,2.13,35479,18.99,4.66,5543
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,4 PERSONS,1,22224,11.89,2.32,35479,18.99,4.66,5969
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,5 PERSONS,1,27035,14.47,2.52,35479,18.99,4.66,5748
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,6 PERSONS,1,26892,14.39,2.68,35479,18.99,4.66,4431
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,7 PERSONS,1,22479,12.03,2.87,35479,18.99,4.66,2961
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,8 PERSONS,1,16915,9.05,3.07,35479,18.99,4.66,1709
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,9 PERSONS,1,11885,6.36,3.31,35479,18.99,4.66,998
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,1,27023,14.46,4.13,35479,18.99,4.66,1232
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,1 PERSON,2,3581,1.92,1.96,62042,33.2,5.71,1030
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,2 PERSONS,2,12696,6.79,1.99,62042,33.2,5.71,4722
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,3 PERSONS,2,16148,8.64,2.13,62042,33.2,5.71,6160
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,4 PERSONS,2,22224,11.89,2.32,62042,33.2,5.71,8801
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,5 PERSONS,2,27035,14.47,2.52,62042,33.2,5.71,10250
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,6 PERSONS,2,26892,14.39,2.68,62042,33.2,5.71,10027
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,7 PERSONS,2,22479,12.03,2.87,62042,33.2,5.71,7859
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,8 PERSONS,2,16915,9.05,3.07,62042,33.2,5.71,5416
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,9 PERSONS,2,11885,6.36,3.31,62042,33.2,5.71,3267
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,2,27023,14.46,4.13,62042,33.2,5.71,4510
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,1 PERSON,3,3581,1.92,1.96,41418,22.16,6.68,433
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,2 PERSONS,3,12696,6.79,1.99,41418,22.16,6.68,1664
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,3 PERSONS,3,16148,8.64,2.13,41418,22.16,6.68,2625
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,4 PERSONS,3,22224,11.89,2.32,41418,22.16,6.68,4310
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,5 PERSONS,3,27035,14.47,2.52,41418,22.16,6.68,6132
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,6 PERSONS,3,26892,14.39,2.68,41418,22.16,6.68,6649
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,7 PERSONS,3,22479,12.03,2.87,41418,22.16,6.68,5778
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,8 PERSONS,3,16915,9.05,3.07,41418,22.16,6.68,4588
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,9 PERSONS,3,11885,6.36,3.31,41418,22.16,6.68,3190
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,3,27023,14.46,4.13,41418,22.16,6.68,6049
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,1 PERSON,4,3581,1.92,1.96,23896,12.79,7.67,201
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,2 PERSONS,4,12696,6.79,1.99,23896,12.79,7.67,674
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,3 PERSONS,4,16148,8.64,2.13,23896,12.79,7.67,1084
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,4 PERSONS,4,22224,11.89,2.32,23896,12.79,7.67,1834
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,5 PERSONS,4,27035,14.47,2.52,23896,12.79,7.67,2860
