province_name,district_code,district_name,area_name,area_type,gender,nationality_status,age_group,count
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,ALL SEXES,PAKISTANI,18 AND ABOVE,670264
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,18 AND ABOVE,1860
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,ALL SEXES,TOTAL,18 AND ABOVE,196893
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,ALL SEXES,PAKISTANI,18 AND ABOVE,196031
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,18 AND ABOVE,862
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,MALE,TOTAL,ALL AGES,771969
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,MALE,PAKISTANI,ALL AGES,767387
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,MALE,NON-PAKISTANI,ALL AGES,4582
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,MALE,TOTAL,ALL AGES,605990
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,MALE,PAKISTANI,ALL AGES,602773
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,MALE,NON-PAKISTANI,ALL AGES,3217
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,MALE,TOTAL,ALL AGES,165979
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,MALE,PAKISTANI,ALL AGES,164614
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,MALE,NON-PAKISTANI,ALL AGES,1365
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,MALE,TOTAL,00 - 04,101097
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,MALE,PAKISTANI,00 - 04,100031
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,MALE,NON-PAKISTANI,00 - 04,1066
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,MALE,TOTAL,00 - 04,81514
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,MALE,PAKISTANI,00 - 04,80735
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,MALE,NON-PAKISTANI,00 - 04,779
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,MALE,TOTAL,00 - 04,19583
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,MALE,PAKISTANI,00 - 04,19296
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,MALE,NON-PAKISTANI,00 - 04,287
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,MALE,TOTAL,05 - 09,103453
