province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,OVER 50 YEARS,7,5723,4.42,6610,5.11,207
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,UNDER CONSTRUCTION,8,2981,2.3,4603,3.56,85
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,LESS THAN 5 YEARS,8,13550,10.47,4603,3.56,459
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,5-10 YEARS,8,29563,22.85,4603,3.56,968
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,11-50 YEARS,8,77559,59.95,4603,3.56,2954
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,OVER 50 YEARS,8,5723,4.42,4603,3.56,137
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,UNDER CONSTRUCTION,9 AND MORE,2981,2.3,6569,5.08,134
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,LESS THAN 5 YEARS,9 AND MORE,13550,10.47,6569,5.08,739
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,5-10 YEARS,9 AND MORE,29563,22.85,6569,5.08,1448
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,11-50 YEARS,9 AND MORE,77559,59.95,6569,5.08,4046
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,OVER 50 YEARS,9 AND MORE,5723,4.42,6569,5.08,202
