province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,FEMALE,67464,47.93,TOTAL,26948,100,67464
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,TRANSGENDER,5,0,REGULAR,26779,99.37,5
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,TRANSGENDER,5,0,INSTITUTIONAL,159,0.59,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,TRANSGENDER,5,0,HOMELESS,10,0.04,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,TOTAL,TRANSGENDER,5,0,TOTAL,26948,100,5
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,ALL SEXES,119570,100,REGULAR,22640,99.35,118538
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,ALL SEXES,119570,100,INSTITUTIONAL,138,0.61,985
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,ALL SEXES,119570,100,HOMELESS,10,0.04,47
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,ALL SEXES,119570,100,TOTAL,22788,100,119570
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,MALE,62415,52.2,REGULAR,22640,99.35,61592
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,MALE,62415,52.2,INSTITUTIONAL,138,0.61,793
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,MALE,62415,52.2,HOMELESS,10,0.04,30
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,MALE,62415,52.2,TOTAL,22788,100,62415
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,FEMALE,57150,47.8,REGULAR,22640,99.35,56941
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,FEMALE,57150,47.8,INSTITUTIONAL,138,0.61,192
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,FEMALE,57150,47.8,HOMELESS,10,0.04,17
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,FEMALE,57150,47.8,TOTAL,22788,100,57150
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,TRANSGENDER,5,0,REGULAR,22640,99.35,5
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,TRANSGENDER,5,0,INSTITUTIONAL,138,0.61,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,TRANSGENDER,5,0,HOMELESS,10,0.04,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,RURAL,TRANSGENDER,5,0,TOTAL,22788,100,5
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,ALL SEXES,21196,100,REGULAR,4139,99.5,20998
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,ALL SEXES,21196,100,INSTITUTIONAL,21,0.5,198
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,ALL SEXES,21196,100,HOMELESS,NA,NA,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,ALL SEXES,21196,100,TOTAL,4160,100,21196
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,MALE,10882,51.34,REGULAR,4139,99.5,10736
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,MALE,10882,51.34,INSTITUTIONAL,21,0.5,146
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,MALE,10882,51.34,HOMELESS,NA,NA,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,MALE,10882,51.34,TOTAL,4160,100,10882
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,FEMALE,10314,48.66,REGULAR,4139,99.5,10262
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,FEMALE,10314,48.66,INSTITUTIONAL,21,0.5,52
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,FEMALE,10314,48.66,HOMELESS,NA,NA,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,FEMALE,10314,48.66,TOTAL,4160,100,10314
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,TRANSGENDER,0,0,REGULAR,4139,99.5,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,TRANSGENDER,0,0,INSTITUTIONAL,21,0.5,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,TRANSGENDER,0,0,HOMELESS,NA,NA,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,URBAN,TRANSGENDER,0,0,TOTAL,4160,100,0
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,ALL SEXES,269817,100,REGULAR,52988,98.62,265229
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,ALL SEXES,269817,100,INSTITUTIONAL,718,1.34,4476
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,ALL SEXES,269817,100,HOMELESS,24,0.04,112
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,ALL SEXES,269817,100,TOTAL,53730,100,269817
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,MALE,139565,51.73,REGULAR,52988,98.62,137026
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,MALE,139565,51.73,INSTITUTIONAL,718,1.34,2454
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,MALE,139565,51.73,HOMELESS,24,0.04,85
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,MALE,139565,51.73,TOTAL,53730,100,139565
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,FEMALE,130214,48.26,REGULAR,52988,98.62,128167
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,FEMALE,130214,48.26,INSTITUTIONAL,718,1.34,2020
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,FEMALE,130214,48.26,HOMELESS,24,0.04,27
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,FEMALE,130214,48.26,TOTAL,53730,100,130214
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,TRANSGENDER,38,0.01,REGULAR,52988,98.62,36
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,TRANSGENDER,38,0.01,INSTITUTIONAL,718,1.34,2
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,TRANSGENDER,38,0.01,HOMELESS,24,0.04,0
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,TOTAL,TRANSGENDER,38,0.01,TOTAL,53730,100,38
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,RURAL,ALL SEXES,165467,100,REGULAR,32911,99.21,163529
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,RURAL,ALL SEXES,165467,100,INSTITUTIONAL,254,0.77,1905
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,RURAL,ALL SEXES,165467,100,HOMELESS,8,0.02,33
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,RURAL,ALL SEXES,165467,100,TOTAL,33173,100,165467
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,RURAL,MALE,85449,51.64,REGULAR,32911,99.21,84402
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,RURAL,MALE,85449,51.64,INSTITUTIONAL,254,0.77,1030
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,RURAL,MALE,85449,51.64,HOMELESS,8,0.02,17
