province_name,district_code,district_name,area_name,area_type,gender,household_head_relationship,age_group,count
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,45 - 49,1631
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,45 - 49,1164
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,45 - 49,1115
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,45 - 49,575
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,TOTAL,50 - 54,43559
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,HEAD,50 - 54,22780
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SPOUSE,50 - 54,15308
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,50 - 54,288
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,50 - 54,111
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,GRAND SON/GRAND DAUGHTER,50 - 54,3
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,50 - 54,2633
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,50 - 54,878
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,50 - 54,1022
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,50 - 54,536
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,TOTAL,55 - 59,30883
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,HEAD,55 - 59,16526
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SPOUSE,55 - 59,9703
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,55 - 59,80
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,55 - 59,25
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,GRAND SON/GRAND DAUGHTER,55 - 59,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,55 - 59,2980
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,55 - 59,476
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,55 - 59,700
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,55 - 59,392
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,TOTAL,60 - 64,26906
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,HEAD,60 - 64,13607
