province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,9 PERSONS,8,4992,8.2,3.86,1182,1.94,8.97,117
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,8,11940,19.61,4.38,1182,1.94,8.97,441
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,1 PERSON,9 AND MORE,710,1.17,2.31,1979,3.25,9.43,8
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,2 PERSONS,9 AND MORE,1705,2.8,2.5,1979,3.25,9.43,26
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,3 PERSONS,9 AND MORE,2855,4.69,2.82,1979,3.25,9.43,39
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,4 PERSONS,9 AND MORE,5322,8.74,3.04,1979,3.25,9.43,82
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,5 PERSONS,9 AND MORE,8409,13.81,3.26,1979,3.25,9.43,170
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,6 PERSONS,9 AND MORE,9738,15.99,3.41,1979,3.25,9.43,218
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,9 AND MORE,8573,14.08,3.57,1979,3.25,9.43,255
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,9 AND MORE,6639,10.9,3.67,1979,3.25,9.43,202
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,9 PERSONS,9 AND MORE,4992,8.2,3.86,1979,3.25,9.43,199
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,9 AND MORE,11940,19.61,4.38,1979,3.25,9.43,780
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,1 PERSON,1,485,0.9,2.35,5199,9.62,5.56,190
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,2 PERSONS,1,1502,2.78,2.45,5199,9.62,5.56,474
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,3 PERSONS,1,2504,4.64,2.78,5199,9.62,5.56,499
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,4 PERSONS,1,4727,8.75,2.99,5199,9.62,5.56,716
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,5 PERSONS,1,7463,13.81,3.2,5199,9.62,5.56,817
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,6 PERSONS,1,8568,15.86,3.35,5199,9.62,5.56,814
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,7 PERSONS,1,7620,14.11,3.51,5199,9.62,5.56,634
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,8 PERSONS,1,5962,11.04,3.6,5199,9.62,5.56,425
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,9 PERSONS,1,4489,8.31,3.78,5199,9.62,5.56,278
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,10 PERSONS AND ABOVE,1,10703,19.81,4.31,5199,9.62,5.56,352
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,1 PERSON,2,485,0.9,2.35,13491,24.97,6.56,127
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,2 PERSONS,2,1502,2.78,2.45,13491,24.97,6.56,482
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,3 PERSONS,2,2504,4.64,2.78,13491,24.97,6.56,796
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,4 PERSONS,2,4727,8.75,2.99,13491,24.97,6.56,1475
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,5 PERSONS,2,7463,13.81,3.2,13491,24.97,6.56,2177
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,6 PERSONS,2,8568,15.86,3.35,13491,24.97,6.56,2324
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,7 PERSONS,2,7620,14.11,3.51,13491,24.97,6.56,1983
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,8 PERSONS,2,5962,11.04,3.6,13491,24.97,6.56,1406
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,9 PERSONS,2,4489,8.31,3.78,13491,24.97,6.56,1008
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,10 PERSONS AND ABOVE,2,10703,19.81,4.31,13491,24.97,6.56,1713
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,1 PERSON,3,485,0.9,2.35,12777,23.65,7.15,74
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,2 PERSONS,3,1502,2.78,2.45,12777,23.65,7.15,265
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,3 PERSONS,3,2504,4.64,2.78,12777,23.65,7.15,586
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,4 PERSONS,3,4727,8.75,2.99,12777,23.65,7.15,1133
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,5 PERSONS,3,7463,13.81,3.2,12777,23.65,7.15,1915
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,6 PERSONS,3,8568,15.86,3.35,12777,23.65,7.15,2118
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,7 PERSONS,3,7620,14.11,3.51,12777,23.65,7.15,1823
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,8 PERSONS,3,5962,11.04,3.6,12777,23.65,7.15,1501
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,9 PERSONS,3,4489,8.31,3.78,12777,23.65,7.15,1071
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,10 PERSONS AND ABOVE,3,10703,19.81,4.31,12777,23.65,7.15,2291
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,1 PERSON,4,485,0.9,2.35,9657,17.88,7.62,46
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,2 PERSONS,4,1502,2.78,2.45,9657,17.88,7.62,145
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,3 PERSONS,4,2504,4.64,2.78,9657,17.88,7.62,329
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,4 PERSONS,4,4727,8.75,2.99,9657,17.88,7.62,696
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,5 PERSONS,4,7463,13.81,3.2,9657,17.88,7.62,1248
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,6 PERSONS,4,8568,15.86,3.35,9657,17.88,7.62,1591
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,7 PERSONS,4,7620,14.11,3.51,9657,17.88,7.62,1380
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,8 PERSONS,4,5962,11.04,3.6,9657,17.88,7.62,1175
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,9 PERSONS,4,4489,8.31,3.78,9657,17.88,7.62,832
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,10 PERSONS AND ABOVE,4,10703,19.81,4.31,9657,17.88,7.62,2215
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,1 PERSON,5,485,0.9,2.35,5364,9.93,8.16,25
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,2 PERSONS,5,1502,2.78,2.45,5364,9.93,8.16,52
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,3 PERSONS,5,2504,4.64,2.78,5364,9.93,8.16,141
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,4 PERSONS,5,4727,8.75,2.99,5364,9.93,8.16,321
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,5 PERSONS,5,7463,13.81,3.2,5364,9.93,8.16,603
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,6 PERSONS,5,8568,15.86,3.35,5364,9.93,8.16,773
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,7 PERSONS,5,7620,14.11,3.51,5364,9.93,8.16,784
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,8 PERSONS,5,5962,11.04,3.6,5364,9.93,8.16,623
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,9 PERSONS,5,4489,8.31,3.78,5364,9.93,8.16,536
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,10 PERSONS AND ABOVE,5,10703,19.81,4.31,5364,9.93,8.16,1506
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,1 PERSON,6,485,0.9,2.35,3227,5.97,8.48,11
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,2 PERSONS,6,1502,2.78,2.45,3227,5.97,8.48,38
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,3 PERSONS,6,2504,4.64,2.78,3227,5.97,8.48,72
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,4 PERSONS,6,4727,8.75,2.99,3227,5.97,8.48,186
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,5 PERSONS,6,7463,13.81,3.2,3227,5.97,8.48,305
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,6 PERSONS,6,8568,15.86,3.35,3227,5.97,8.48,454
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,7 PERSONS,6,7620,14.11,3.51,3227,5.97,8.48,416
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,8 PERSONS,6,5962,11.04,3.6,3227,5.97,8.48,369
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,9 PERSONS,6,4489,8.31,3.78,3227,5.97,8.48,324
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,10 PERSONS AND ABOVE,6,10703,19.81,4.31,3227,5.97,8.48,1052
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,1 PERSON,7,485,0.9,2.35,1624,3.01,8.72,4
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,2 PERSONS,7,1502,2.78,2.45,1624,3.01,8.72,12
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,3 PERSONS,7,2504,4.64,2.78,1624,3.01,8.72,28
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,4 PERSONS,7,4727,8.75,2.99,1624,3.01,8.72,86
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,5 PERSONS,7,7463,13.81,3.2,1624,3.01,8.72,162
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,6 PERSONS,7,8568,15.86,3.35,1624,3.01,8.72,208
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,7 PERSONS,7,7620,14.11,3.51,1624,3.01,8.72,240
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,8 PERSONS,7,5962,11.04,3.6,1624,3.01,8.72,180
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,9 PERSONS,7,4489,8.31,3.78,1624,3.01,8.72,171
