province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,6 PERSONS,2,18663,16.39,2.56,37670,33.08,6.1,6857
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,7 PERSONS,2,15064,13.23,2.68,37670,33.08,6.1,5441
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,8 PERSONS,2,10523,9.24,2.85,37670,33.08,6.1,3654
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,9 PERSONS,2,7000,6.15,3.06,37670,33.08,6.1,2208
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,2,16610,14.59,3.81,37670,33.08,6.1,3427
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,1 PERSON,3,2129,1.87,1.98,23987,21.06,6.91,241
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,2 PERSONS,3,5481,4.81,2.02,23987,21.06,6.91,741
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,3 PERSONS,3,8215,7.21,2.19,23987,21.06,6.91,1371
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,4 PERSONS,3,12621,11.08,2.35,23987,21.06,6.91,2316
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5 PERSONS,3,17576,15.43,2.47,23987,21.06,6.91,3566
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,6 PERSONS,3,18663,16.39,2.56,23987,21.06,6.91,4036
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,7 PERSONS,3,15064,13.23,2.68,23987,21.06,6.91,3440
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,8 PERSONS,3,10523,9.24,2.85,23987,21.06,6.91,2471
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,9 PERSONS,3,7000,6.15,3.06,23987,21.06,6.91,1784
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,3,16610,14.59,3.81,23987,21.06,6.91,4021
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,1 PERSON,4,2129,1.87,1.98,14259,12.52,7.62,133
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,2 PERSONS,4,5481,4.81,2.02,14259,12.52,7.62,357
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,3 PERSONS,4,8215,7.21,2.19,14259,12.52,7.62,635
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,4 PERSONS,4,12621,11.08,2.35,14259,12.52,7.62,1276
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5 PERSONS,4,17576,15.43,2.47,14259,12.52,7.62,1829
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,6 PERSONS,4,18663,16.39,2.56,14259,12.52,7.62,2129
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,7 PERSONS,4,15064,13.23,2.68,14259,12.52,7.62,1892
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,8 PERSONS,4,10523,9.24,2.85,14259,12.52,7.62,1445
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,9 PERSONS,4,7000,6.15,3.06,14259,12.52,7.62,1127
