province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,11-50 YEARS,7,53328,51.43,1405,1.36,695
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OVER 50 YEARS,7,1800,1.74,1405,1.36,20
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,UNDER CONSTRUCTION,8,1154,1.11,984,0.95,16
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,LESS THAN 5 YEARS,8,17127,16.52,984,0.95,202
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5-10 YEARS,8,30275,29.2,984,0.95,290
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,11-50 YEARS,8,53328,51.43,984,0.95,462
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OVER 50 YEARS,8,1800,1.74,984,0.95,14
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,UNDER CONSTRUCTION,9 AND MORE,1154,1.11,1009,0.97,13
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,LESS THAN 5 YEARS,9 AND MORE,17127,16.52,1009,0.97,184
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5-10 YEARS,9 AND MORE,30275,29.2,1009,0.97,294
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,11-50 YEARS,9 AND MORE,53328,51.43,1009,0.97,487
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OVER 50 YEARS,9 AND MORE,1800,1.74,1009,0.97,31
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,UNDER CONSTRUCTION,1,937,1.78,8094,15.35,172
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,LESS THAN 5 YEARS,1,8991,17.05,8094,15.35,1574
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,5-10 YEARS,1,15362,29.13,8094,15.35,2133
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,11-50 YEARS,1,26045,49.38,8094,15.35,4056
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,OVER 50 YEARS,1,1409,2.67,8094,15.35,159
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,UNDER CONSTRUCTION,2,937,1.78,15297,29,297
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,LESS THAN 5 YEARS,2,8991,17.05,15297,29,2782
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,5-10 YEARS,2,15362,29.13,15297,29,4486
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,11-50 YEARS,2,26045,49.38,15297,29,7347
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,OVER 50 YEARS,2,1409,2.67,15297,29,385
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,UNDER CONSTRUCTION,3,937,1.78,13718,26.01,240
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,LESS THAN 5 YEARS,3,8991,17.05,13718,26.01,2306
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,5-10 YEARS,3,15362,29.13,13718,26.01,4324
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,11-50 YEARS,3,26045,49.38,13718,26.01,6522
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,OVER 50 YEARS,3,1409,2.67,13718,26.01,326
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,UNDER CONSTRUCTION,4,937,1.78,8174,15.5,132
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,LESS THAN 5 YEARS,4,8991,17.05,8174,15.5,1280
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,5-10 YEARS,4,15362,29.13,8174,15.5,2311
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,11-50 YEARS,4,26045,49.38,8174,15.5,4212
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,OVER 50 YEARS,4,1409,2.67,8174,15.5,239
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,UNDER CONSTRUCTION,5,937,1.78,3434,6.51,38
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,LESS THAN 5 YEARS,5,8991,17.05,3434,6.51,467
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,5-10 YEARS,5,15362,29.13,3434,6.51,989
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,11-50 YEARS,5,26045,49.38,3434,6.51,1823
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,OVER 50 YEARS,5,1409,2.67,3434,6.51,117
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,UNDER CONSTRUCTION,6,937,1.78,2036,3.86,35
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,LESS THAN 5 YEARS,6,8991,17.05,2036,3.86,293
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,5-10 YEARS,6,15362,29.13,2036,3.86,609
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,11-50 YEARS,6,26045,49.38,2036,3.86,1022
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,OVER 50 YEARS,6,1409,2.67,2036,3.86,77
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,UNDER CONSTRUCTION,7,937,1.78,859,1.63,6
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,LESS THAN 5 YEARS,7,8991,17.05,859,1.63,132
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,5-10 YEARS,7,15362,29.13,859,1.63,218
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,11-50 YEARS,7,26045,49.38,859,1.63,461
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,OVER 50 YEARS,7,1409,2.67,859,1.63,42
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,UNDER CONSTRUCTION,8,937,1.78,548,1.04,10
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,LESS THAN 5 YEARS,8,8991,17.05,548,1.04,81
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,5-10 YEARS,8,15362,29.13,548,1.04,140
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,11-50 YEARS,8,26045,49.38,548,1.04,300
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,OVER 50 YEARS,8,1409,2.67,548,1.04,17
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,UNDER CONSTRUCTION,9 AND MORE,937,1.78,584,1.11,7
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,LESS THAN 5 YEARS,9 AND MORE,8991,17.05,584,1.11,76
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,5-10 YEARS,9 AND MORE,15362,29.13,584,1.11,152
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,11-50 YEARS,9 AND MORE,26045,49.38,584,1.11,302
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,URBAN,OVER 50 YEARS,9 AND MORE,1409,2.67,584,1.11,47
