province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,2 PERSONS,9 AND MORE,3955,4.06,1.85,2445,2.51,18.1,14
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,3 PERSONS,9 AND MORE,4685,4.8,2.01,2445,2.51,18.1,20
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,4 PERSONS,9 AND MORE,6633,6.8,2.18,2445,2.51,18.1,40
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,5 PERSONS,9 AND MORE,8582,8.8,2.4,2445,2.51,18.1,53
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,6 PERSONS,9 AND MORE,10105,10.36,2.59,2445,2.51,18.1,52
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,7 PERSONS,9 AND MORE,10788,11.06,2.8,2445,2.51,18.1,78
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,8 PERSONS,9 AND MORE,10314,10.58,3.02,2445,2.51,18.1,75
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,9 PERSONS,9 AND MORE,8785,9.01,3.28,2445,2.51,18.1,98
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,9 AND MORE,32429,33.25,4.49,2445,2.51,18.1,1999
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,1 PERSON,1,1055,1.22,1.9,13771,15.9,5.14,621
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,2 PERSONS,1,3443,3.98,1.81,13771,15.9,5.14,1845
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,3 PERSONS,1,4072,4.7,1.97,13771,15.9,5.14,1777
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,4 PERSONS,1,5682,6.56,2.15,13771,15.9,5.14,2018
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,5 PERSONS,1,7349,8.49,2.34,13771,15.9,5.14,2004
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,6 PERSONS,1,8640,9.98,2.56,13771,15.9,5.14,1723
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,7 PERSONS,1,9449,10.91,2.79,13771,15.9,5.14,1381
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,8 PERSONS,1,9219,10.64,3,13771,15.9,5.14,1006
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,9 PERSONS,1,7991,9.23,3.27,13771,15.9,5.14,580
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,10 PERSONS AND ABOVE,1,29705,34.3,4.49,13771,15.9,5.14,816
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,1 PERSON,2,1055,1.22,1.9,22714,26.23,6.83,214
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,2 PERSONS,2,3443,3.98,1.81,22714,26.23,6.83,1006
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,3 PERSONS,2,4072,4.7,1.97,22714,26.23,6.83,1387
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,4 PERSONS,2,5682,6.56,2.15,22714,26.23,6.83,2114
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,5 PERSONS,2,7349,8.49,2.34,22714,26.23,6.83,2798
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,6 PERSONS,2,8640,9.98,2.56,22714,26.23,6.83,3257
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,7 PERSONS,2,9449,10.91,2.79,22714,26.23,6.83,3345
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,8 PERSONS,2,9219,10.64,3,22714,26.23,6.83,2908
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,9 PERSONS,2,7991,9.23,3.27,22714,26.23,6.83,2149
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,10 PERSONS AND ABOVE,2,29705,34.3,4.49,22714,26.23,6.83,3536
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,1 PERSON,3,1055,1.22,1.9,18939,21.87,8.51,100
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,2 PERSONS,3,3443,3.98,1.81,18939,21.87,8.51,298
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,3 PERSONS,3,4072,4.7,1.97,18939,21.87,8.51,522
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,4 PERSONS,3,5682,6.56,2.15,18939,21.87,8.51,861
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,5 PERSONS,3,7349,8.49,2.34,18939,21.87,8.51,1451
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,6 PERSONS,3,8640,9.98,2.56,18939,21.87,8.51,2021
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,7 PERSONS,3,9449,10.91,2.79,18939,21.87,8.51,2498
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,8 PERSONS,3,9219,10.64,3,18939,21.87,8.51,2617
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,9 PERSONS,3,7991,9.23,3.27,18939,21.87,8.51,2373
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,10 PERSONS AND ABOVE,3,29705,34.3,4.49,18939,21.87,8.51,6198
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,1 PERSON,4,1055,1.22,1.9,13151,15.19,10.06,47
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,2 PERSONS,4,3443,3.98,1.81,13151,15.19,10.06,151
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,3 PERSONS,4,4072,4.7,1.97,13151,15.19,10.06,211
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,4 PERSONS,4,5682,6.56,2.15,13151,15.19,10.06,378
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,5 PERSONS,4,7349,8.49,2.34,13151,15.19,10.06,644
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,6 PERSONS,4,8640,9.98,2.56,13151,15.19,10.06,966
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,7 PERSONS,4,9449,10.91,2.79,13151,15.19,10.06,1250
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,8 PERSONS,4,9219,10.64,3,13151,15.19,10.06,1468
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,9 PERSONS,4,7991,9.23,3.27,13151,15.19,10.06,1560
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,10 PERSONS AND ABOVE,4,29705,34.3,4.49,13151,15.19,10.06,6476
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,1 PERSON,5,1055,1.22,1.9,7498,8.66,11.72,27
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,2 PERSONS,5,3443,3.98,1.81,7498,8.66,11.72,70
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,3 PERSONS,5,4072,4.7,1.97,7498,8.66,11.72,85
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,4 PERSONS,5,5682,6.56,2.15,7498,8.66,11.72,153
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,5 PERSONS,5,7349,8.49,2.34,7498,8.66,11.72,234
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,6 PERSONS,5,8640,9.98,2.56,7498,8.66,11.72,359
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,7 PERSONS,5,9449,10.91,2.79,7498,8.66,11.72,507
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,8 PERSONS,5,9219,10.64,3,7498,8.66,11.72,654
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,9 PERSONS,5,7991,9.23,3.27,7498,8.66,11.72,668
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,10 PERSONS AND ABOVE,5,29705,34.3,4.49,7498,8.66,11.72,4741
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,1 PERSON,6,1055,1.22,1.9,4463,5.15,13.22,19
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,2 PERSONS,6,3443,3.98,1.81,4463,5.15,13.22,34
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,3 PERSONS,6,4072,4.7,1.97,4463,5.15,13.22,45
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,4 PERSONS,6,5682,6.56,2.15,4463,5.15,13.22,71
