province_name,district_code,district_name,area_name,area_type,gender,total_population,literacy_ratio,literacy_status,count
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,TRANSGENDER,96,35.42,ILLITERATE,62
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,TRANSGENDER,96,35.42,TOTAL LITERATE,34
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,TRANSGENDER,96,35.42,FORMAL LITERATE,31
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,TOTAL,TRANSGENDER,96,35.42,INFORMAL LITERATE,3
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,ALL SEXES,588277,48.34,ILLITERATE,303898
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,ALL SEXES,588277,48.34,TOTAL LITERATE,284379
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,ALL SEXES,588277,48.34,FORMAL LITERATE,281568
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,ALL SEXES,588277,48.34,INFORMAL LITERATE,2811
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,MALE,292760,61.01,ILLITERATE,114146
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,MALE,292760,61.01,TOTAL LITERATE,178614
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,MALE,292760,61.01,FORMAL LITERATE,177223
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,MALE,292760,61.01,INFORMAL LITERATE,1391
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,FEMALE,295450,35.79,ILLITERATE,189702
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,FEMALE,295450,35.79,TOTAL LITERATE,105748
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,FEMALE,295450,35.79,FORMAL LITERATE,104330
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,FEMALE,295450,35.79,INFORMAL LITERATE,1418
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,TRANSGENDER,67,25.37,ILLITERATE,50
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,TRANSGENDER,67,25.37,TOTAL LITERATE,17
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,TRANSGENDER,67,25.37,FORMAL LITERATE,15
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,RURAL,TRANSGENDER,67,25.37,INFORMAL LITERATE,2
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,ALL SEXES,94483,70.5,ILLITERATE,27874
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,ALL SEXES,94483,70.5,TOTAL LITERATE,66609
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,ALL SEXES,94483,70.5,FORMAL LITERATE,65576
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,ALL SEXES,94483,70.5,INFORMAL LITERATE,1033
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,MALE,47023,79.35,ILLITERATE,9710
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,MALE,47023,79.35,TOTAL LITERATE,37313
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,MALE,47023,79.35,FORMAL LITERATE,36959
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,MALE,47023,79.35,INFORMAL LITERATE,354
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,FEMALE,47431,61.73,ILLITERATE,18152
