province_name,district_code,district_name,area_name,area_type,gender,cnic_status,age_group,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,70 - 74,2042
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,70 - 74,4
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,70 - 74,4
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,70 - 74,0
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,75 AND ABOVE,40230
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,75 AND ABOVE,35516
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,75 AND ABOVE,4714
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,75 AND ABOVE,20781
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,75 AND ABOVE,19240
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,75 AND ABOVE,1541
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,75 AND ABOVE,19434
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,75 AND ABOVE,16265
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,75 AND ABOVE,3169
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,75 AND ABOVE,15
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,75 AND ABOVE,11
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,75 AND ABOVE,4
